Project Name,Website,Twitter/X Account,Logo URL
Societe Generale,https://www.societegenerale.com/en,SocieteGenerale,https://icon.horse/icon/societegenerale.com
Dynamic,https://www.dynamic.xyz,dynamic_xyz,https://icon.horse/icon/dynamic.xyz
QuickNode,https://www.quicknode.com,QuickNode,https://icon.horse/icon/quicknode.com
Brex,https://www.brex.com,brexHQ,https://icon.horse/icon/brex.com
Dromos Labs,https://dromos.xyz,,https://icon.horse/icon/dromos.xyz
Catena Labs,https://catenalabs.com,,https://icon.horse/icon/catenalabs.com
Fun.xyz,https://fun.xyz,,https://icon.horse/icon/fun.xyz
Corpay,https://www.corpay.com,,https://icon.horse/icon/corpay.com
Chainlink,https://chain.link,chainlink,https://icon.horse/icon/chain.link
Coinbase,https://www.coinbase.com,coinbase,https://icon.horse/icon/coinbase.com
Kyobo Life,https://www.kyobo.com/dgt/web/company-introduction/en-main,,https://icon.horse/icon/kyobo.com
BlackRock,https://www.blackrock.com/us/individual,BlackRock,https://icon.horse/icon/blackrock.com
Bron,https://bron.org,,https://icon.horse/icon/bron.org
Absa,https://www.absa.co.za/personal,AbsaGroupLtd,https://icon.horse/icon/absa.co.za
